domain,citations,owner,subtype,sample_url,top_model,owner_group,reviewer_agrees,note,review_owner
allaboutai.com,1,earned,other,https://www.allaboutai.com/resources/ai-statistics/ai-cheating-in-schools/,claude-sonnet-4-6,earned,yes,,earned
alliancehealthplan.org,1,earned,advocacy,https://www.alliancehealthplan.org/providers/network/support/shared-decision-making-tools/,gemini-2.5-flash,earned,yes,,earned
alphanet.org,1,earned,advocacy,https://www.alphanet.org/AlphaNet/wp-content/uploads/2025/03/GLP-1-Medications-One-Pager.pdf,gpt-4o,earned,yes,,earned
americanbio-tech.com,1,earned,other,https://www.americanbio-tech.com/news/drugs-for-life-how-pharmaceutical-companies,claude-sonnet-4-6,earned,yes,,earned
americanprogress.org,1,earned,advocacy,https://www.americanprogress.org/article/big-pharma-reaps-profits-hurting-everyday-americans/,claude-sonnet-4-6,earned,yes,,earned
apa.org,10,earned,advocacy,https://www.apa.org/news/press/releases/2026/03/lose-weight-same-meals.html,gpt-4o,earned,yes,,earned
aspiremed.care,1,earned,other,https://www.aspiremed.care/blog/top-fda-approved-weight-loss-medications,gemini-2.5-flash,earned,yes,,earned
azdietitians.com,1,earned,telehealth,https://azdietitians.com/blog/not-all-supplements-are-created-equal-why-third-party-testing-and-proper-dosing-matters/,gemini-2.5-flash,earned,yes,,earned
bodymusclematters.com,1,earned,other,https://bodymusclematters.com/strength-training-for-fat-loss/,claude-sonnet-5,earned,yes,,earned
bookauthority.org,6,earned,advocacy,https://bookauthority.org/books/new-type-2-diabetes-books,claude-sonnet-4-6,earned,yes,,earned
brujulabike.com,1,earned,other,https://en.brujulabike.com/ozempic-in-cycling-does-it-help-or-harm-performance/,claude-sonnet-4-6,earned,yes,,earned
cheflindseyfarr.com,1,earned,other,https://cheflindseyfarr.com/side-dish-recipes/,gemini-2.5-flash,earned,yes,,earned
drsobo.com,43,earned,telehealth,https://drsobo.com/blog/ozempic-ckd-kidney-protective-weight-loss/,gemini-2.5-flash,earned,yes,,earned
europepmc.org,1,earned,advocacy,https://europepmc.org/article/pmc/pmc6531535,claude-sonnet-4-6,earned,no,Europe PMC is a clinical literature database (like PMC) — institutional by the spec's definition; stored category was advocacy,institutional
everself.com,27,earned,health_media,https://everself.com/blog/zepbound-vs-wegovy-side-effects/,claude-sonnet-4-6,earned,yes,,earned
ginihealth.com,1,earned,health_media,https://ginihealth.com/blog/can-type-2-diabetes-be-reversed,gemini-2.5-flash,earned,yes,,earned
goodreads.com,2,earned,telehealth,https://www.goodreads.com/shelf/show/diabetes,gemini-2.5-flash,earned,yes,,earned
healio.com,35,institutional,,https://www.healio.com/news/nephrology/20250915/qa-glp1-drugs-may-benefit-ckd-transplant-patients-with-type-2-diabetes,gemini-2.5-flash,institutional,no,medical trade-press publisher (news for clinicians) — earned/health_media by eye; computed institutional via stored category=clinical,earned
healthcarereaders.com,2,earned,other,https://healthcarereaders.com/insights/overprescribed-medications,claude-sonnet-4-6,earned,yes,,earned
healthmovescairns.com.au,2,earned,other,https://healthmovescairns.com.au/pcos-belly-explained-effective-exercise-and-lifestyle-tips-for-women-seeking-real-results/,gemini-2.5-flash,earned,yes,,earned
helloclue.com,17,earned,other,https://helloclue.com/science/ask-the-experts/glp-1s-and-your-cycle-the-impact-of-weight-loss-medications-on-hormonal-health,claude-sonnet-5,earned,yes,,earned
idf.org,10,earned,advocacy,https://idf.org/managing-diabetes/healthy-nutrition/,gemini-2.5-flash,earned,yes,"International Diabetes Federation (NGO) — earned/advocacy accepted, not a public-health authority",earned
institute.org,1,earned,advocacy,https://admin.institute.org/wp-content/uploads/2012/05/Insulin-Pen-Instructions_ENG_v5.pdf,claude-sonnet-4-6,earned,yes,,earned
integrativehealthcarealliance.com,1,earned,other,https://www.integrativehealthcarealliance.com/blog/mental-health-med-limits-what-meds-can-and-cant-do,gemini-2.5-flash,earned,yes,,earned
justloseweightmd.com,3,earned,telehealth,https://justloseweightmd.com/healthy-lunch-ideas-for-weight-loss/,gpt-4o,earned,yes,,earned
lanierlawfirm.com,29,adversarial,,https://www.lanierlawfirm.com/pharmaceutical-liability/ozempic-glp1-naion-blindness-lawsuit/,claude-sonnet-5,adversarial,yes,law-firm NAION lawsuit page — adversarial correct,adversarial
medium.com,15,earned,other,https://medium.com/wise-well/does-reversing-prediabetes-require-weight-loss-not-always-e48931e9f68e,gemini-2.5-flash,earned,yes,,earned
mendmeds.org,1,earned,telehealth,https://mendmeds.org/,gpt-4o,earned,yes,,earned
mymsaa.org,3,earned,advocacy,https://mymsaa.org/ms-information/symptoms/fatigue/,claude-sonnet-4-6,earned,yes,,earned
nj.gov,1,institutional,,https://www.nj.gov/treasury/pensions/documents/pdf/trend/shbp-optumrx-pharmacy-trend-updpate-01-14-2026.pdf,gpt-4o,institutional,yes,"state government document (pension pharmacy trend), institutional accepted as government",institutional
sleeveclinic.ca,9,earned,telehealth,https://sleeveclinic.ca/blog/saxenda-vs-ozempic,gemini-2.5-flash,earned,yes,,earned
theresetedit.com,3,earned,other,https://www.theresetedit.com/glp1-blog/eat-out-travel-on-ozempic,gemini-2.5-flash,earned,yes,,earned
thesilhouetteclinic.com,1,earned,telehealth,https://thesilhouetteclinic.com/what-to-do-if-you-cant-access-compounded-glp-1-medications-anymore/,claude-sonnet-4-6,earned,yes,,earned
thocc.org,1,earned,advocacy,https://thocc.org/about/news-press/news-detail?articleId=46473,gemini-2.5-flash,earned,yes,,earned
titemedicalaesthetics.com,1,earned,other,https://titemedicalaesthetics.com/blog/does-semaglutide-cause-hair-loss/,claude-sonnet-4-6,earned,yes,,earned
turkjfampract.org,1,earned,advocacy,https://turkjfampract.org/plugins/generic/pdfJsViewer/pdf.js/web/viewer.html?file=%2Findex.php%2Findex%2Flogin%2FsignOut%3Fsource%3D.ndiq78da.top&vid=6E9ntDGaoq,claude-sonnet-5,earned,no,"URL is a spam injection through the journal's pdf.js viewer (redirect to ndiq78da.top) — not a source, should be noise",noise
ucla.edu,4,earned,hospital,https://medschool.ucla.edu/news-article/can-diabetes-be-reversed,claude-sonnet-4-6,earned,yes,,earned
veggielush.com,2,earned,other,https://veggielush.com/2025/04/08/how-to-lose-belly-fat-with-pcos/,claude-sonnet-4-6,earned,yes,,earned
victressmvmt.com,1,earned,other,https://victressmvmt.com/blog/debunking-the-myth-will-strength-training-make-you-bulky/,gemini-2.5-flash,earned,yes,,earned
walkinlab.com,1,earned,other,https://resources.walkinlab.com/diabetes/how-often-does-a1c-change/,gemini-2.5-flash,earned,yes,,earned
