pid,run,in_headline,model,model_family,surface_type,repeat_idx,class,present,position,position_text,position_scored,position_flag,weight,brands_in_answer,inn_only,brand_bearing,excluded,exclude_reason,visibility_data
P0001,R1,True,claude-sonnet-4-6,claude,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0001,R1,True,claude-sonnet-4-6,claude,api,1,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0001,R1,True,claude-sonnet-5,claude,api,0,C1,0,,,,False,0.0,[],False,False,True,truncated,0.0
P0001,R1,True,gemini-2.5-flash,gemini,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0001,R1,True,gemini-2.5-flash,gemini,api,1,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0001,R1,True,gemini-2.5-flash,gemini,api,2,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0001,R1,True,gpt-4o,gpt,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0001,R1,True,gpt-4o,gpt,api,1,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0001,R1,True,gpt-4o,gpt,api,2,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0002,R1,True,claude-sonnet-4-6,claude,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0002,R1,True,claude-sonnet-4-6,claude,api,1,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0002,R1,True,claude-sonnet-5,claude,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0002,R1,True,gemini-2.5-flash,gemini,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0002,R1,True,gemini-2.5-flash,gemini,api,1,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0002,R1,True,gemini-2.5-flash,gemini,api,2,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0002,R1,True,gpt-4o,gpt,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0002,R1,True,gpt-4o,gpt,api,1,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0002,R1,True,gpt-4o,gpt,api,2,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0003,R1,True,claude-sonnet-4-6,claude,api,0,C1,1,2.0,2.0,4.0,True,90.0,"[""Januvia"", ""Ozempic""]",False,True,False,,50.0
P0003,R1,True,claude-sonnet-4-6,claude,api,1,C1,1,2.0,2.0,6.0,True,90.0,"[""Januvia"", ""Ozempic"", ""Victoza"", ""Jardiance"", ""Farxiga""]",False,True,False,,42.0
P0003,R1,True,claude-sonnet-5,claude,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0003,R1,True,gemini-2.5-flash,gemini,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0003,R1,True,gemini-2.5-flash,gemini,api,1,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0003,R1,True,gemini-2.5-flash,gemini,api,2,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0003,R1,True,gpt-4o,gpt,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0003,R1,True,gpt-4o,gpt,api,1,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0003,R1,True,gpt-4o,gpt,api,2,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0004,R1,True,claude-sonnet-4-6,claude,api,0,C1,1,1.0,1.0,1.0,False,100.0,"[""Ozempic"", ""Wegovy"", ""Rybelsus""]",False,True,False,,77.0
P0004,R1,True,claude-sonnet-4-6,claude,api,1,C1,1,4.0,4.0,4.0,False,72.9,"[""Farxiga"", ""Jardiance"", ""Invokana"", ""Ozempic"", ""Trulicity"", ""Victoza"", ""Wegovy"", ""Rybelsus"", ""Januvia""]",False,True,False,,45.0
P0004,R1,True,claude-sonnet-5,claude,api,0,C1,1,4.0,4.0,4.0,False,72.9,"[""Farxiga"", ""Jardiance"", ""Invokana"", ""Ozempic"", ""Victoza"", ""Trulicity""]",False,True,False,,51.0
P0004,R1,True,gemini-2.5-flash,gemini,api,0,C1,0,,,,False,0.0,"[""Jardiance""]",True,True,False,,0.0
P0004,R1,True,gemini-2.5-flash,gemini,api,1,C1,1,3.0,3.0,3.0,False,81.0,"[""Farxiga"", ""Jardiance"", ""Ozempic"", ""Wegovy"", ""Victoza""]",False,True,False,,44.0
P0004,R1,True,gemini-2.5-flash,gemini,api,2,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0004,R1,True,gpt-4o,gpt,api,0,C1,1,3.0,3.0,3.0,False,81.0,"[""Jardiance"", ""Farxiga"", ""Ozempic"", ""Rybelsus"", ""Trulicity"", ""Victoza"", ""Januvia""]",False,True,False,,55.0
P0004,R1,True,gpt-4o,gpt,api,1,C1,0,,,,False,0.0,[],True,False,False,,0.0
P0004,R1,True,gpt-4o,gpt,api,2,C1,0,,,,False,0.0,[],True,False,False,,0.0
P0005,R1,True,claude-sonnet-4-6,claude,api,0,C1,1,1.0,1.0,2.0,False,100.0,"[""Ozempic"", ""Victoza"", ""Trulicity"", ""Mounjaro"", ""Jardiance"", ""Farxiga"", ""Invokana"", ""Januvia""]",False,True,False,,65.0
P0005,R1,True,claude-sonnet-4-6,claude,api,1,C1,0,,,,False,0.0,"[""Januvia"", ""Invokana"", ""Farxiga"", ""Jardiance""]",False,True,False,,0.0
P0005,R1,True,claude-sonnet-5,claude,api,0,C1,1,1.0,1.0,2.0,False,100.0,"[""Ozempic"", ""Wegovy"", ""Mounjaro"", ""Victoza""]",False,True,False,,67.0
P0005,R1,True,gemini-2.5-flash,gemini,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0005,R1,True,gemini-2.5-flash,gemini,api,1,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0005,R1,True,gemini-2.5-flash,gemini,api,2,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0005,R1,True,gpt-4o,gpt,api,0,C1,0,,,,False,0.0,[],False,False,False,,0.0
P0005,R1,True,gpt-4o,gpt,api,1,C1,0,,,,False,0.0,[],True,False,False,,0.0
P0005,R1,True,gpt-4o,gpt,api,2,C1,0,,,,False,0.0,"[""Wegovy""]",True,True,False,,0.0
P0006,R1,True,claude-sonnet-4-6,claude,api,0,C1,1,1.0,1.0,1.0,False,100.0,"[""Ozempic"", ""Mounjaro"", ""Wegovy"", ""Zepbound""]",False,True,False,,20.0
P0006,R1,True,claude-sonnet-4-6,claude,api,1,C1,1,1.0,1.0,1.0,False,100.0,"[""Ozempic"", ""Mounjaro"", ""Wegovy"", ""Zepbound""]",False,True,False,,0.0
