group_id,topic,subtopic,zone,n_prompts,n_answers,demand,lo,hi,basis,demand_share,gap,gap_bad,dominant_run,gap_by_run,top_code,n_citations,institutional_share,lever_earned,lever_ugc,lever_owned,lever_comp_owned,merged_from
Basics & mechanism × STARTING & SWITCHING,Basics & mechanism,,STARTING & SWITCHING,39,543,89149.0,55000.0,144500.0,median across merged prompts,0.07081969453053721,0.6923076923076923,0.38461538461538464,R7,"{""R1"": 1.0, ""R7"": 0.3889, ""R8"": 0.9286}",REACH OK,725,0.23448275862068965,0.6841379310344827,0.006896551724137931,0.05241379310344828,0.022068965517241378,"[""Basics & mechanism × WEIGHT LOSS""]"
Dosing & administration × Pen & device,Dosing & administration,Pen & device,,32,229,11511.0,8700.0,15230.0,topic-google:subtopic,0.009144303399264309,0.6875,0.375,R6,"{""R2"": 1.0, ""R3"": 0.4286, ""R4"": 0.0, ""R5"": 0.0, ""R6"": 1.0, ""R7"": 0.6}",MESSAGE NOT DELIVERED,1217,0.15776499589153656,0.686113393590797,0.03368940016433854,0.08627773212818406,0.03204601479046836,[]
Dosing & administration × Site & volume,Dosing & administration,Site & volume,,18,147,12920.0,12000.0,13910.0,topic-google:subtopic,0.010263608715011283,0.3888888888888889,0.2777777777777778,R7,"{""R3"": 0.4, ""R4"": 0.0, ""R7"": 0.7143}",ANSWERED CORRECTLY,307,0.035830618892508145,0.8273615635179153,0.013029315960912053,0.10097719869706841,0.02280130293159609,[]
"Dosing & administration × Timing, food & storage",Dosing & administration,"Timing, food & storage",,35,311,10583.0,10000.0,11200.0,topic-google:subtopic,0.008407103020972476,0.4,0.2,R2,"{""R2"": 0.4286, ""R3"": 0.5, ""R4"": 0.0, ""R6"": 0.6}",WE WIN THIS DUEL,1528,0.17604712041884818,0.7113874345549738,0.01767015706806283,0.06871727748691099,0.01112565445026178,[]
Dosing & administration × Titration & dose schedule,Dosing & administration,Titration & dose schedule,,111,893,23610.0,13000.0,42880.0,topic-google:subtopic,0.018755712210635943,0.7207207207207207,0.3963963963963964,R3,"{""R1"": 1.0, ""R2"": 0.7778, ""R3"": 0.5676, ""R4"": 1.0, ""R5"": 0.0, ""R6"": 1.0, ""R7"": 0.5, ""R8"": 1.0}",PATIENT RETAINED,4707,0.17187168047588697,0.7318886764393456,0.023369449755683024,0.05120033991926917,0.010622477161674103,[]
Efficacy & results × BLOOD SUGAR & GLYCEMIC CONTROL,Efficacy & results,,BLOOD SUGAR & GLYCEMIC CONTROL,87,692,1031.0,900.0,1180.0,topic-google:zone×subtopic,0.0008190232651065505,0.8275862068965517,0.47126436781609193,R1,"{""R1"": 1.0, ""R2"": 0.84, ""R3"": 0.0, ""R6"": 0.6429, ""R7"": 0.0}",WE ARE ABSENT,5478,0.25867104782767436,0.6832785688207375,0.01624680540343191,0.023366192040890837,0.01058780576852866,[]
Efficacy & results × LIVING ON THE DRUG,Efficacy & results,,LIVING ON THE DRUG,14,109,3041.0,2500.0,3700.0,topic-google:zone×subtopic,0.0024157611534326093,1.0,0.5,R1,"{""R1"": 1.0, ""R2"": 1.0}",WE ARE ABSENT,862,0.21345707656612528,0.7517401392111369,0.018561484918793503,0.002320185614849188,0.01160092807424594,[]
Efficacy & results × SAFETY & CONTRAINDICATIONS,Efficacy & results,,SAFETY & CONTRAINDICATIONS,15,129,1514.0,1200.0,1910.0,topic-google:zone×subtopic,0.0012027169964804244,0.6,0.4,R6,"{""R1"": 1.0, ""R2"": 1.0, ""R6"": 0.4}",MESSAGE DELIVERED,955,0.38010471204188484,0.5717277486910994,0.016753926701570682,0.024083769633507852,0.0031413612565445027,[]
Efficacy & results × STARTING & SWITCHING,Efficacy & results,,STARTING & SWITCHING,142,999,5600.0,3500.0,8960.0,median across merged prompts,0.00444862297245071,0.7535211267605634,0.34507042253521125,R1,"{""R1"": 1.0, ""R2"": 0.7895, ""R3"": 0.55, ""R6"": 0.7222, ""R7"": 0.3158}",WE ARE ABSENT,7596,0.24499736703528172,0.70115850447604,0.018957345971563982,0.01908899420747762,0.004739336492890996,"[""Efficacy & results × HEART & KIDNEY"", ""Efficacy & results × PRICE & ACCESS"", ""Efficacy & results × REPUTATION & ENTITY""]"
Efficacy & results × WEIGHT LOSS,Efficacy & results,,WEIGHT LOSS,125,843,54976.0,42000.0,71960.0,topic-google:zone×subtopic,0.04367276723811612,0.848,0.272,R2,"{""R1"": 1.0, ""R2"": 0.9057, ""R3"": 0.9091, ""R6"": 1.0, ""R7"": 0.0769}",WE LOSE THIS DUEL,6601,0.1852749583396455,0.7580669595515831,0.016967126193001062,0.019542493561581577,0.006211180124223602,[]
Indications & eligibility × Approved uses (general),Indications & eligibility,Approved uses (general),,15,231,909.0,700.0,1180.0,topic-google:subtopic,0.0007221068360638743,0.6666666666666666,0.4,R5,"{""R3"": 1.0, ""R5"": 0.5455, ""R8"": 1.0}",COMPETITOR OFF-LABEL LIFT,50,0.14,0.8,0.0,0.0,0.0,[]
Indications & eligibility × Cardiovascular & renal indication,Indications & eligibility,Cardiovascular & renal indication,,26,284,97.5,65.0,150.0,topic-google:zone×subtopic,7.745370353820434e-05,0.5,0.2692307692307692,R6,"{""R4"": 0.0, ""R6"": 0.65}",MESSAGE DELIVERED,1314,0.439117199391172,0.5114155251141552,0.0076103500761035,0.04033485540334855,0.0,[]
Indications & eligibility × Cosmetic & small-weight,Indications & eligibility,Cosmetic & small-weight,,10,121,7305.0,7300.0,7310.0,topic-google:subtopic,0.005803069788170079,0.5,0.4,R5,"{""R3"": 1.0, ""R5"": 0.4444}",COMPETITOR WITHIN LABEL,37,0.05405405405405406,0.8918918918918919,0.05405405405405406,0.0,0.0,[]
Indications & eligibility × PCOS & off-label,Indications & eligibility,PCOS & off-label,,13,109,1490.0,1200.0,1850.0,topic-google:subtopic,0.0011836514694556356,0.7692307692307693,0.23076923076923078,R1,"{""R1"": 1.0, ""R3"": 0.6667, ""R5"": 0.3333}",LISTED BUT NOT CHOSEN,627,0.20574162679425836,0.7384370015948963,0.04146730462519936,0.014354066985645933,0.0,[]
Indications & eligibility × Pediatrics & teens,Indications & eligibility,Pediatrics & teens,,14,220,539.0,300.0,970.0,topic-google:subtopic,0.0004281799610983809,0.6428571428571429,0.35714285714285715,R4,"{""R4"": 0.8, ""R5"": 0.0, ""R8"": 1.0}",INCOMPLETE / OMISSION,0,,,,,,[]
Indications & eligibility × Weight loss without diabetes,Indications & eligibility,Weight loss without diabetes,,53,527,66818.0,64000.0,69760.0,topic-google:zone×subtopic,0.05308001603093064,0.660377358490566,0.24528301886792453,R3,"{""R1"": 1.0, ""R3"": 0.6, ""R4"": 0.2, ""R5"": 0.75}",LEAK TO A COMPETITOR,2018,0.22497522299306244,0.7383548067393458,0.013875123885034688,0.01288404360753221,0.002477700693756194,[]
Lifestyle & daily living × LIVING ON THE DRUG,Lifestyle & daily living,,LIVING ON THE DRUG,10,61,4065.0,2700.0,6120.0,topic-google:topic,0.0032292236398235963,0.3,0.0,R3,"{""R3"": 0.3}",PATIENT RETAINED,514,0.07198443579766536,0.896887159533074,0.021400778210116732,0.009727626459143969,0.0,[]
Lifestyle & daily living × STARTING & SWITCHING,Lifestyle & daily living,,STARTING & SWITCHING,20,123,4065.0,2700.0,6120.0,median across merged prompts,0.0032292236398235963,0.25,0.0,R3,"{""R1"": 1.0, ""R3"": 0.2105}",PATIENT RETAINED,927,0.061488673139158574,0.9137001078748651,0.012944983818770227,0.010787486515641856,0.0,"[""Lifestyle & daily living × WEIGHT LOSS""]"
"Price, coverage & supply × Cost & price","Price, coverage & supply",Cost & price,,48,274,70316.0,47000.0,105200.0,topic-google:subtopic,0.0558588165947936,0.75,0.2916666666666667,R2,"{""R1"": 1.0, ""R2"": 0.8, ""R3"": 0.9, ""R7"": 0.5333}",NO CLEAR WINNER,2220,0.10855855855855856,0.7815315315315315,0.02027027027027027,0.06441441441441441,0.017117117117117116,[]
"Price, coverage & supply × Coupons & savings","Price, coverage & supply",Coupons & savings,,25,100,121227.0,88000.0,167000.0,topic-google:subtopic,0.09630236019308612,0.88,0.68,R7,"{""R2"": 1.0, ""R3"": 0.8, ""R7"": 0.8824}",LOW REACH ON HIGH DEMAND,649,0.08628659476117104,0.7026194144838213,0.01694915254237288,0.14175654853620956,0.04930662557781202,[]
"Price, coverage & supply × Insurance & coverage","Price, coverage & supply",Insurance & coverage,,52,308,8198.0,4700.0,14300.0,topic-google:subtopic,0.0065124662728840935,0.8461538461538461,0.5192307692307693,R7,"{""R1"": 1.0, ""R2"": 1.0, ""R3"": 0.8125, ""R7"": 0.7222}",LOW REACH ON HIGH DEMAND,2307,0.14911140008669269,0.7516254876462939,0.02600780234070221,0.04768097095795405,0.014304291287386216,[]
Reputation & narratives × Body-change memes,Reputation & narratives,Body-change memes,,16,89,257805.0,216000.0,307700.0,topic-google:subtopic,0.20479950810940276,0.0625,0.0625,R7,"{""R7"": 0.0, ""R9"": 0.1667}",REACH OK,404,0.11138613861386139,0.849009900990099,0.007425742574257425,0.019801980198019802,0.0,[]
Reputation & narratives × Forever drug & regain,Reputation & narratives,Forever drug & regain,,12,105,1173.0,800.0,1720.0,topic-google:subtopic,0.0009318276333365506,0.75,0.3333333333333333,R9,"{""R1"": 1.0, ""R3"": 1.0, ""R9"": 0.5}",LISTED BUT NOT CHOSEN,724,0.24033149171270718,0.7085635359116023,0.011049723756906077,0.0055248618784530384,0.0,[]
